id	ori_StatisticalDebugging	pred_StatisticalDebugging	predWithReplace_StatisticalDebugging	tot_StatisticalDebugging
2	1.0	1.0	1.0	1.0
4	1.0	1.0	1.0	1.0
5	1.0	1.0	1.0	1.0
6	5.0	5.0	5.0	5.0
8	16.0	21.0	21.0	21.0
9	9.0	3.0	3.0	3.0
10	11.0	2.0	2.0	2.0
11	1.0	1.0	1.0	1.0
12	2.0	1.0	1.0	1.0
13	-1.0	-1.0	-1.0	-1.0
14	1.0	1.0	1.0	1.0
15	13.0	2.0	2.0	2.0
17	3.0	3.0	3.0	3.0
18	16.0	16.0	16.0	16.0
19	3.0	4.0	4.0	4.0
20	2.0	2.0	2.0	2.0
21	1.0	1.0	1.0	1.0
22	5.0	2.0	2.0	2.0
23	-1.0	-1.0	-1.0	-1.0
25	-1.0	-1.0	-1.0	-1.0
26	-1.0	-1.0	-1.0	-1.0
28	3.0	3.0	3.0	3.0
29	2.0	2.0	2.0	2.0
30	3.0	1.0	1.0	1.0
31	2.0	2.0	2.0	2.0
32	-1.0	-1.0	-1.0	-1.0
33	1.0	1.0	1.0	1.0
34	-1.0	-1.0	-1.0	-1.0
35	2.0	2.0	2.0	2.0
37	1.0	1.0	1.0	1.0
38	10.0	10.0	10.0	10.0
39	1.0	1.0	1.0	1.0
40	2.0	2.0	2.0	2.0
41	2.0	2.0	2.0	2.0
42	6.0	6.0	6.0	6.0
43	2.0	2.0	2.0	2.0
44	2.0	2.0	2.0	2.0
45	2.0	2.0	2.0	2.0
46	1.0	1.0	1.0	1.0
47	2.0	3.0	3.0	3.0
48	1.0	1.0	1.0	1.0
49	4.0	4.0	4.0	4.0
50	12.0	16.0	16.0	16.0
51	1.0	1.0	1.0	1.0
52	2.0	2.0	2.0	2.0
53	2.0	2.0	2.0	2.0
54	1.0	1.0	1.0	1.0
55	3.0	3.0	3.0	3.0
56	-1.0	-1.0	-1.0	-1.0
57	-1.0	-1.0	-1.0	-1.0
59	2.0	2.0	2.0	2.0
60	5.0	5.0	5.0	5.0
61	5.0	7.0	7.0	7.0
62	2.0	2.0	2.0	2.0
63	4.0	4.0	4.0	4.0
64	2.0	2.0	2.0	2.0
65	2.0	2.0	2.0	2.0
top_1_3_5_10	13_35_41_44	15_38_43_46	15_38_43_46	15_38_43_46
percent	0.228_0.614_0.719_0.772	0.263_0.667_0.754_0.807	0.263_0.667_0.754_0.807	0.263_0.667_0.754_0.807
improve_drop	0_0	6_5	6_5	6_5
