id	ori_StatisticalDebugging	pred_StatisticalDebugging	predWithReplace_StatisticalDebugging	tot_StatisticalDebugging
1	12.0	12.0	12.0	12.0
2	9.0	9.0	9.0	9.0
3	68.0	95.0	95.0	95.0
4	10.0	10.0	10.0	10.0
5	26.0	3.0	3.0	3.0
6	119.0	1.0	1.0	1.0
7	38.0	59.0	59.0	59.0
8	13.0	13.0	13.0	13.0
9	13.0	13.0	13.0	13.0
10	54.0	77.0	77.0	77.0
11	-1.0	-1.0	-1.0	-1.0
12	52.0	13.0	13.0	13.0
13	21.0	21.0	21.0	21.0
14	53.0	75.0	75.0	75.0
15	1.0	1.0	1.0	1.0
16	86.0	12.0	12.0	12.0
17	34.0	34.0	34.0	34.0
18	8.0	8.0	8.0	8.0
19	61.0	61.0	61.0	61.0
20	58.0	58.0	58.0	58.0
21	59.0	6.0	6.0	6.0
22	-1.0	-1.0	-1.0	-1.0
23	2.0	2.0	2.0	2.0
24	64.0	40.0	40.0	40.0
25	42.0	8.0	8.0	8.0
26	-1.0	-1.0	-1.0	-1.0
27	35.0	35.0	35.0	35.0
top_1_3_5_10	1_2_2_5	2_4_4_9	2_4_4_9	2_4_4_9
percent	0.037_0.074_0.074_0.185	0.074_0.148_0.148_0.333	0.074_0.148_0.148_0.333	0.074_0.148_0.148_0.333
improve_drop	0_0	7_4	7_4	7_4
