id	ori_Barinel	pred_Barinel	predWithReplace_Barinel	tot_Barinel	ori_DStar	pred_DStar	predWithReplace_DStar	tot_DStar	ori_Ochiai	pred_Ochiai	predWithReplace_Ochiai	tot_Ochiai	ori_Op2	pred_Op2	predWithReplace_Op2	tot_Op2	ori_Tarantula	pred_Tarantula	predWithReplace_Tarantula	tot_Tarantula	ori_StatisticalDebugging	pred_StatisticalDebugging	predWithReplace_StatisticalDebugging	tot_StatisticalDebugging	ori_OriginalStatisticalDebugging	pred_OriginalStatisticalDebugging	predWithReplace_OriginalStatisticalDebugging	tot_OriginalStatisticalDebugging
1	1.0	53.0	1.0	1.0	1.0	53.0	1.0	1.0	1.0	53.0	1.0	1.0	1.0	53.0	1.0	7.0	1.0	53.0	1.0	7.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
2	17.0	35.0	17.0	21.0	20.0	35.0	20.0	24.0	20.0	35.0	20.0	24.0	44.0	35.0	44.0	48.0	17.0	35.0	17.0	22.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
3	1.0	23.0	1.0	1.0	1.0	23.0	1.0	1.0	1.0	23.0	1.0	2.0	1.0	23.0	1.0	11.0	1.0	23.0	1.0	11.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
4	2.0	202.0	2.0	2.0	1.0	202.0	1.0	1.0	1.0	202.0	1.0	1.0	1.0	202.0	1.0	21.0	2.0	202.0	2.0	37.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
5	2.0	9.0	2.0	2.0	2.0	9.0	2.0	2.0	2.0	9.0	2.0	3.0	2.0	9.0	2.0	5.0	2.0	9.0	2.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
6	14.0	14.0	14.0	15.0	14.0	14.0	14.0	15.0	14.0	14.0	14.0	15.0	3.0	14.0	3.0	8.0	14.0	14.0	14.0	15.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
7	2.0	10.0	2.0	2.0	2.0	10.0	2.0	2.0	2.0	10.0	2.0	2.0	2.0	10.0	2.0	2.0	2.0	10.0	2.0	2.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
8	2.0	5.0	2.0	3.0	2.0	5.0	2.0	3.0	2.0	5.0	2.0	3.0	2.0	5.0	2.0	5.0	2.0	5.0	2.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
9	2.0	28.0	2.0	2.0	2.0	28.0	2.0	2.0	2.0	28.0	2.0	5.0	2.0	28.0	2.0	17.0	2.0	28.0	2.0	17.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
10	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
12	6.0	46.0	6.0	6.0	6.0	46.0	6.0	6.0	6.0	46.0	6.0	6.0	6.0	46.0	6.0	6.0	6.0	46.0	6.0	6.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
13	4.0	41.0	6.0	8.0	4.0	41.0	6.0	6.0	4.0	41.0	6.0	8.0	4.0	41.0	6.0	28.0	4.0	41.0	6.0	28.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
14	7.0	44.0	7.0	7.0	10.0	44.0	10.0	10.0	7.0	44.0	7.0	7.0	58.0	44.0	58.0	58.0	7.0	44.0	7.0	8.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
15	10.0	115.0	10.0	10.0	10.0	115.0	10.0	10.0	10.0	115.0	10.0	10.0	10.0	115.0	10.0	37.0	10.0	115.0	10.0	37.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
16	2.0	8.0	2.0	2.0	1.0	8.0	1.0	1.0	1.0	8.0	1.0	1.0	1.0	8.0	1.0	1.0	2.0	8.0	2.0	2.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
17	2.0	5.0	2.0	2.0	2.0	5.0	2.0	2.0	2.0	5.0	2.0	2.0	2.0	5.0	2.0	3.0	2.0	5.0	2.0	3.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
18	2.0	12.0	2.0	2.0	1.0	12.0	1.0	1.0	1.0	12.0	1.0	1.0	1.0	12.0	1.0	2.0	2.0	12.0	2.0	4.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
19	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	73.0	12.0	73.0	12.0	1.0	1.0	1.0	1.0	7.0	9.0	9.0	9.0	7.0	9.0	9.0	9.0
20	638.0	710.0	643.0	665.0	387.0	710.0	388.0	398.0	402.0	710.0	403.0	436.0	389.0	710.0	389.0	410.0	638.0	710.0	643.0	693.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
21	2.0	15.0	2.0	2.0	2.0	15.0	2.0	2.0	2.0	15.0	2.0	2.0	2.0	15.0	2.0	5.0	2.0	15.0	2.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
22	2.0	16.0	2.0	3.0	5.0	16.0	5.0	6.0	1.0	16.0	1.0	2.0	12.0	16.0	12.0	15.0	2.0	16.0	2.0	8.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
23	3.0	20.0	3.0	3.0	3.0	20.0	3.0	3.0	3.0	20.0	3.0	3.0	3.0	20.0	3.0	4.0	3.0	20.0	3.0	4.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
24	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
25	2.0	334.0	2.0	6.0	24.0	334.0	25.0	34.0	13.0	334.0	14.0	38.0	517.0	334.0	517.0	523.0	2.0	334.0	2.0	86.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
26	54.0	501.0	57.0	82.0	22.0	501.0	22.0	22.0	22.0	501.0	22.0	69.0	22.0	501.0	22.0	74.0	54.0	501.0	57.0	150.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
top_1_3_5_10	5_18_19_22	2_4_6_9	5_18_18_22	5_17_17_22	8_16_18_21	2_4_6_9	8_16_17_21	8_16_16_21	9_17_18_21	2_4_6_9	9_17_17_21	7_16_17_21	7_16_17_19	1_3_5_8	7_16_16_19	3_7_11_14	5_18_19_22	2_4_6_9	5_18_18_22	3_7_12_16	0_0_0_1	0_0_0_1	0_0_0_1	0_0_0_1	0_0_0_1	0_0_0_1	0_0_0_1	0_0_0_1
percent	0.192_0.692_0.731_0.846	0.077_0.154_0.231_0.346	0.192_0.692_0.692_0.846	0.192_0.654_0.654_0.846	0.308_0.615_0.692_0.808	0.077_0.154_0.231_0.346	0.308_0.615_0.654_0.808	0.308_0.615_0.615_0.808	0.346_0.654_0.692_0.808	0.077_0.154_0.231_0.346	0.346_0.654_0.654_0.808	0.269_0.615_0.654_0.808	0.269_0.615_0.654_0.731	0.038_0.115_0.192_0.308	0.269_0.615_0.615_0.731	0.115_0.269_0.423_0.538	0.192_0.692_0.731_0.846	0.077_0.154_0.231_0.346	0.192_0.692_0.692_0.846	0.115_0.269_0.462_0.615	0.000_0.000_0.000_0.038	0.000_0.000_0.000_0.038	0.000_0.000_0.000_0.038	0.000_0.000_0.000_0.038	0.000_0.000_0.000_0.038	0.000_0.000_0.000_0.038	0.000_0.000_0.000_0.038	0.000_0.000_0.000_0.038
improve_drop	0_0	0_22	0_3	0_8	0_0	0_22	0_3	0_7	0_0	0_22	0_3	0_11	0_0	4_20	0_1	1_18	0_0	0_22	0_3	0_19	0_0	0_1	0_1	0_1	0_0	0_1	0_1	0_1
