id	ori_Barinel	pred_Barinel	predWithReplace_Barinel	tot_Barinel	ori_DStar	pred_DStar	predWithReplace_DStar	tot_DStar	ori_Ochiai	pred_Ochiai	predWithReplace_Ochiai	tot_Ochiai	ori_Op2	pred_Op2	predWithReplace_Op2	tot_Op2	ori_Tarantula	pred_Tarantula	predWithReplace_Tarantula	tot_Tarantula
1	4.0	1.0	4.0	4.0	5.0	1.0	5.0	4.0	5.0	1.0	5.0	2.0	13.0	3.0	13.0	4.0	4.0	1.0	4.0	1.0
2	4.0	2.0	2.0	2.0	4.0	2.0	2.0	2.0	4.0	2.0	2.0	2.0	4.0	2.0	2.0	2.0	4.0	2.0	2.0	2.0
3	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
4	2.0	40.0	2.0	3.0	2.0	40.0	2.0	5.0	2.0	40.0	2.0	7.0	13.0	40.0	13.0	36.0	2.0	40.0	2.0	27.0
5	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
7	61.0	2.0	3.0	10.0	61.0	2.0	3.0	10.0	61.0	2.0	3.0	11.0	61.0	2.0	3.0	12.0	61.0	2.0	3.0	12.0
8	2.0	11.0	2.0	2.0	2.0	11.0	2.0	2.0	2.0	11.0	2.0	2.0	2.0	11.0	2.0	5.0	2.0	11.0	2.0	5.0
9	1.0	12.0	1.0	1.0	1.0	12.0	1.0	1.0	1.0	12.0	1.0	1.0	1.0	12.0	1.0	8.0	1.0	12.0	1.0	8.0
10	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0
11	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
12	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
13	24.0	40.0	25.0	25.0	24.0	40.0	25.0	25.0	24.0	40.0	25.0	27.0	24.0	40.0	25.0	30.0	24.0	40.0	25.0	30.0
14	20.0	27.0	20.0	21.0	20.0	27.0	20.0	21.0	20.0	27.0	20.0	22.0	20.0	27.0	20.0	24.0	20.0	27.0	20.0	24.0
15	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
16	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	6.0	6.0	6.0	1.0	1.0	1.0	1.0
17	6.0	16.0	7.0	9.0	6.0	16.0	7.0	9.0	6.0	16.0	7.0	10.0	6.0	16.0	7.0	10.0	6.0	16.0	7.0	10.0
18	27.0	116.0	29.0	36.0	27.0	116.0	29.0	36.0	27.0	116.0	29.0	41.0	27.0	116.0	29.0	76.0	27.0	116.0	29.0	76.0
19	26.0	57.0	25.0	28.0	26.0	57.0	25.0	28.0	26.0	57.0	25.0	29.0	26.0	56.0	25.0	41.0	26.0	57.0	25.0	41.0
20	26.0	116.0	34.0	39.0	26.0	116.0	34.0	38.0	26.0	116.0	34.0	41.0	26.0	116.0	34.0	76.0	26.0	116.0	34.0	76.0
21	2.0	31.0	2.0	2.0	2.0	31.0	2.0	2.0	2.0	31.0	2.0	2.0	2.0	31.0	2.0	19.0	2.0	31.0	2.0	19.0
22	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	1.0	9.0	13.0	1.0	11.0	11.0	11.0	11.0
