id	ori_StatisticalDebugging	pred_StatisticalDebugging	predWithReplace_StatisticalDebugging	tot_StatisticalDebugging
1	-1.0	-1.0	-1.0	-1.0
2	1.0	1.0	1.0	1.0
3	-1.0	-1.0	-1.0	-1.0
4	1.0	1.0	1.0	1.0
5	1.0	1.0	1.0	1.0
6	5.0	1.0	1.0	1.0
7	-1.0	-1.0	-1.0	-1.0
8	16.0	21.0	21.0	21.0
9	9.0	8.0	8.0	8.0
10	11.0	3.0	3.0	3.0
11	1.0	1.0	1.0	1.0
12	2.0	1.0	1.0	1.0
13	-1.0	-1.0	-1.0	-1.0
14	1.0	1.0	1.0	1.0
15	13.0	3.0	3.0	3.0
16	-1.0	-1.0	-1.0	-1.0
17	3.0	1.0	1.0	1.0
18	16.0	2.0	2.0	2.0
19	3.0	1.0	1.0	1.0
20	2.0	2.0	2.0	2.0
21	1.0	1.0	1.0	1.0
22	5.0	3.0	3.0	3.0
23	-1.0	-1.0	-1.0	-1.0
24	-1.0	-1.0	-1.0	-1.0
25	-1.0	-1.0	-1.0	-1.0
26	-1.0	-1.0	-1.0	-1.0
27	-1.0	-1.0	-1.0	-1.0
28	3.0	2.0	2.0	2.0
29	2.0	3.0	3.0	3.0
30	3.0	1.0	1.0	1.0
31	2.0	2.0	2.0	2.0
32	-1.0	-1.0	-1.0	-1.0
33	1.0	1.0	1.0	1.0
34	-1.0	-1.0	-1.0	-1.0
35	2.0	1.0	1.0	1.0
36	-1.0	-1.0	-1.0	-1.0
37	1.0	1.0	1.0	1.0
38	10.0	1.0	1.0	1.0
39	1.0	1.0	1.0	1.0
40	2.0	2.0	2.0	2.0
41	2.0	3.0	3.0	3.0
42	6.0	2.0	2.0	2.0
43	2.0	2.0	2.0	2.0
44	2.0	2.0	2.0	-1.0
45	2.0	2.0	2.0	2.0
46	1.0	1.0	1.0	1.0
47	2.0	3.0	3.0	3.0
48	1.0	1.0	1.0	1.0
49	4.0	5.0	5.0	5.0
50	12.0	3.0	3.0	3.0
51	1.0	1.0	1.0	1.0
52	2.0	1.0	1.0	1.0
53	2.0	1.0	1.0	1.0
54	1.0	1.0	1.0	1.0
55	3.0	4.0	4.0	4.0
56	-1.0	-1.0	-1.0	-1.0
57	-1.0	-1.0	-1.0	-1.0
58	-1.0	-1.0	-1.0	-1.0
59	2.0	3.0	3.0	3.0
60	5.0	7.0	7.0	7.0
61	5.0	7.0	7.0	7.0
62	2.0	2.0	2.0	2.0
63	4.0	1.0	1.0	1.0
64	2.0	3.0	3.0	3.0
65	2.0	2.0	2.0	2.0
top_1_3_5_10	13_35_41_44	23_43_45_48	23_43_45_48	23_42_44_47
percent	0.200_0.538_0.631_0.677	0.354_0.662_0.692_0.738	0.354_0.662_0.692_0.738	0.354_0.646_0.677_0.723
improve_drop	0_0	18_10	18_10	19_10
