id	ori_StatisticalDebugging	pred_StatisticalDebugging	predWithReplace_StatisticalDebugging	tot_StatisticalDebugging
1	19.0	1.0	1.0	1.0
2	15.0	3.0	3.0	3.0
3	10.0	15.0	15.0	15.0
4	95.0	2.0	2.0	2.0
5	4.0	2.0	2.0	2.0
6	9.0	15.0	15.0	15.0
7	4.0	2.0	2.0	2.0
8	-1.0	-1.0	-1.0	-1.0
9	13.0	20.0	20.0	20.0
10	-1.0	-1.0	-1.0	-1.0
11	1.0	1.0	1.0	1.0
12	-1.0	-1.0	-1.0	-1.0
13	21.0	31.0	31.0	31.0
14	13.0	18.0	18.0	18.0
15	-1.0	-1.0	-1.0	-1.0
16	3.0	1.0	1.0	1.0
17	-1.0	-1.0	-1.0	-1.0
18	4.0	6.0	6.0	6.0
19	20.0	30.0	30.0	30.0
20	3.0	4.0	4.0	4.0
21	5.0	1.0	1.0	1.0
22	7.0	11.0	11.0	11.0
23	-1.0	-1.0	-1.0	-1.0
24	2.0	2.0	2.0	2.0
25	140.0	196.0	196.0	196.0
26	228.0	11.0	11.0	11.0
top_1_3_5_10	1_4_8_11	4_9_10_11	4_9_10_11	4_9_10_11
percent	0.038_0.154_0.308_0.423	0.154_0.346_0.385_0.423	0.154_0.346_0.385_0.423	0.154_0.346_0.385_0.423
improve_drop	0_0	8_10	8_10	8_10
