id	ori_Barinel	pred_Barinel	predWithReplace_Barinel	tot_Barinel	ori_DStar	pred_DStar	predWithReplace_DStar	tot_DStar	ori_Ochiai	pred_Ochiai	predWithReplace_Ochiai	tot_Ochiai	ori_Op2	pred_Op2	predWithReplace_Op2	tot_Op2	ori_Tarantula	pred_Tarantula	predWithReplace_Tarantula	tot_Tarantula	ori_StatisticalDebugging	pred_StatisticalDebugging	predWithReplace_StatisticalDebugging	tot_StatisticalDebugging	ori_OriginalStatisticalDebugging	pred_OriginalStatisticalDebugging	predWithReplace_OriginalStatisticalDebugging	tot_OriginalStatisticalDebugging
1	2.0	1.0	1.0	1.0	3.0	1.0	2.0	1.0	3.0	1.0	1.0	1.0	12.0	1.0	11.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0
2	4.0	17.0	6.0	6.0	4.0	17.0	6.0	6.0	4.0	17.0	6.0	6.0	4.0	17.0	6.0	9.0	4.0	17.0	6.0	9.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
3	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
4	2.0	33.0	2.0	2.0	2.0	33.0	2.0	2.0	2.0	33.0	2.0	4.0	13.0	33.0	13.0	24.0	2.0	33.0	2.0	13.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
5	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
6	21.0	7.0	8.0	14.0	17.0	40.0	18.0	24.0	17.0	38.0	18.0	34.0	27.0	40.0	27.0	58.0	21.0	7.0	8.0	15.0	29.0	8.0	8.0	8.0	29.0	41.0	41.0	41.0
7	1.0	12.0	6.0	10.0	1.0	12.0	6.0	10.0	1.0	12.0	6.0	10.0	1.0	12.0	6.0	6.0	1.0	12.0	6.0	6.0	15.0	19.0	19.0	19.0	15.0	15.0	15.0	15.0
8	2.0	11.0	2.0	2.0	2.0	11.0	2.0	2.0	2.0	11.0	2.0	3.0	2.0	11.0	2.0	6.0	2.0	11.0	2.0	6.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
9	1.0	11.0	1.0	1.0	1.0	11.0	1.0	1.0	1.0	11.0	1.0	1.0	1.0	11.0	1.0	6.0	1.0	11.0	1.0	6.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
10	2.0	19.0	4.0	4.0	2.0	19.0	4.0	4.0	2.0	19.0	4.0	5.0	2.0	19.0	4.0	7.0	2.0	19.0	4.0	7.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
11	2.0	57.0	4.0	4.0	2.0	57.0	4.0	4.0	2.0	57.0	4.0	5.0	2.0	57.0	4.0	13.0	2.0	57.0	4.0	13.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
12	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
13	24.0	38.0	25.0	25.0	24.0	38.0	25.0	25.0	24.0	38.0	25.0	25.0	24.0	38.0	25.0	25.0	24.0	38.0	25.0	25.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
14	24.0	31.0	25.0	26.0	24.0	31.0	25.0	26.0	24.0	31.0	25.0	26.0	24.0	31.0	25.0	26.0	24.0	31.0	25.0	26.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
15	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0
16	1.0	6.0	1.0	1.0	1.0	6.0	1.0	1.0	1.0	6.0	1.0	1.0	1.0	6.0	1.0	2.0	1.0	6.0	1.0	2.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
17	14.0	17.0	14.0	16.0	14.0	17.0	14.0	16.0	14.0	17.0	14.0	16.0	14.0	17.0	14.0	16.0	14.0	17.0	14.0	16.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
18	8.0	100.0	12.0	12.0	8.0	100.0	12.0	12.0	8.0	100.0	12.0	14.0	8.0	100.0	12.0	33.0	8.0	100.0	12.0	33.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
19	9.0	47.0	11.0	11.0	9.0	47.0	11.0	11.0	9.0	47.0	11.0	14.0	9.0	47.0	11.0	15.0	9.0	47.0	11.0	15.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
20	31.0	100.0	36.0	39.0	31.0	100.0	36.0	39.0	31.0	100.0	36.0	41.0	31.0	100.0	36.0	50.0	31.0	100.0	36.0	50.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
21	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0
22	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	3.0	11.0	11.0	3.0	11.0	11.0	11.0	11.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
23	3.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	6.0	1.0	1.0	1.0	6.0	6.0	6.0	6.0
24	4.0	2.0	2.0	2.0	4.0	2.0	2.0	2.0	4.0	2.0	2.0	2.0	4.0	2.0	2.0	2.0	4.0	2.0	2.0	2.0	6.0	1.0	1.0	1.0	6.0	6.0	6.0	6.0
25	1.0	12.0	2.0	2.0	1.0	12.0	2.0	2.0	1.0	12.0	2.0	2.0	1.0	12.0	2.0	8.0	1.0	12.0	2.0	8.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
26	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
27	1.0	5.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	5.0	1.0	3.0	1.0	5.0	1.0	3.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
28	2.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	6.0	2.0	2.0	2.0	6.0	6.0	6.0	6.0
29	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	6.0	20.0	20.0	6.0	20.0	20.0	20.0	20.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
30	3.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	5.0	5.0	5.0	5.0
31	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	7.0	9.0	1.0	1.0	1.0	9.0	1.0	1.0	1.0
32	3.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	4.0	3.0	2.0	3.0	2.0	3.0	2.0	3.0	2.0	14.0	3.0	3.0	3.0	14.0	14.0	14.0	14.0
33	3.0	4.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	7.0	10.0	10.0	10.0	7.0	7.0	7.0	7.0
34	2.0	5.0	2.0	2.0	2.0	5.0	2.0	2.0	2.0	5.0	2.0	2.0	2.0	5.0	2.0	2.0	2.0	5.0	2.0	2.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
