id	ori_Barinel	pred_Barinel	predWithReplace_Barinel	tot_Barinel	ori_DStar	pred_DStar	predWithReplace_DStar	tot_DStar	ori_Ochiai	pred_Ochiai	predWithReplace_Ochiai	tot_Ochiai	ori_Op2	pred_Op2	predWithReplace_Op2	tot_Op2	ori_Tarantula	pred_Tarantula	predWithReplace_Tarantula	tot_Tarantula	ori_StatisticalDebugging	pred_StatisticalDebugging	predWithReplace_StatisticalDebugging	tot_StatisticalDebugging	ori_OriginalStatisticalDebugging	pred_OriginalStatisticalDebugging	predWithReplace_OriginalStatisticalDebugging	tot_OriginalStatisticalDebugging
1	6.0	4.0	7.0	4.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	2.0	4.0	3.0	4.0	2.0	6.0	4.0	7.0	3.0	402.0	3.0	3.0	3.0	402.0	3.0	3.0	3.0
2	3.0	444.0	4.0	5.0	3.0	444.0	4.0	5.0	3.0	444.0	4.0	12.0	3.0	444.0	4.0	148.0	3.0	444.0	4.0	221.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
3	4.0	2.0	4.0	1.0	4.0	2.0	4.0	1.0	4.0	2.0	4.0	1.0	4.0	2.0	4.0	1.0	4.0	2.0	4.0	1.0	140.0	5.0	5.0	5.0	140.0	5.0	5.0	5.0
4	28.0	20.0	29.0	22.0	24.0	17.0	24.0	21.0	24.0	17.0	24.0	21.0	20.0	16.0	20.0	17.0	28.0	20.0	29.0	18.0	180.0	28.0	28.0	28.0	180.0	24.0	24.0	24.0
5	10.0	6.0	9.0	7.0	10.0	6.0	9.0	7.0	10.0	6.0	9.0	5.0	10.0	6.0	9.0	4.0	10.0	6.0	9.0	4.0	112.0	5.0	5.0	5.0	112.0	112.0	112.0	112.0
6	1.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	7.0	18.0	8.0	13.0	1.0	2.0	2.0	2.0	181.0	2.0	2.0	2.0	181.0	2.0	2.0	2.0
7	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	45.0	1.0	1.0	1.0	45.0	1.0	1.0	1.0
8	10.0	7.0	11.0	9.0	10.0	7.0	11.0	9.0	10.0	7.0	11.0	8.0	10.0	7.0	11.0	6.0	10.0	7.0	11.0	6.0	87.0	7.0	7.0	7.0	87.0	87.0	87.0	87.0
9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
10	41.0	16.0	21.0	25.0	30.0	12.0	16.0	16.0	22.0	13.0	24.0	17.0	73.0	149.0	154.0	156.0	22.0	17.0	24.0	14.0	354.0	33.0	33.0	33.0	354.0	10.0	10.0	10.0
11	167.0	114.0	182.0	106.0	146.0	98.0	160.0	87.0	146.0	98.0	160.0	81.0	119.0	86.0	133.0	65.0	167.0	114.0	182.0	88.0	163.0	179.0	179.0	179.0	163.0	163.0	163.0	163.0
12	93.0	596.0	93.0	97.0	93.0	596.0	93.0	97.0	93.0	596.0	93.0	109.0	93.0	596.0	93.0	221.0	93.0	596.0	93.0	327.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
13	47.0	37.0	54.0	76.0	47.0	37.0	54.0	75.0	47.0	37.0	54.0	91.0	47.0	37.0	54.0	198.0	47.0	37.0	54.0	195.0	270.0	19.0	19.0	19.0	270.0	270.0	270.0	270.0
14	3.0	9.0	3.0	5.0	1.0	3.0	1.0	1.0	2.0	4.0	2.0	3.0	1.0	2.0	1.0	1.0	3.0	9.0	3.0	6.0	168.0	13.0	13.0	13.0	168.0	5.0	5.0	5.0
15	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
16	5.0	5.0	6.0	3.0	2.0	3.0	4.0	2.0	2.0	3.0	4.0	2.0	2.0	2.0	3.0	1.0	5.0	5.0	6.0	2.0	260.0	461.0	461.0	461.0	260.0	330.0	330.0	330.0
17	3.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	1.0	3.0	3.0	3.0	1.0	3.0	3.0	3.0	1.0	175.0	5.0	5.0	5.0	175.0	175.0	175.0	175.0
18	472.0	188.0	475.0	344.0	472.0	188.0	475.0	344.0	472.0	188.0	475.0	303.0	472.0	188.0	475.0	208.0	472.0	188.0	475.0	181.0	141.0	144.0	144.0	144.0	141.0	141.0	141.0	141.0
19	2.0	446.0	2.0	2.0	2.0	446.0	2.0	2.0	2.0	446.0	2.0	2.0	2.0	446.0	2.0	154.0	2.0	446.0	2.0	230.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
20	1.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	87.0	2.0	2.0	2.0	87.0	87.0	87.0	87.0
21	2.0	1.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	96.0	1.0	1.0	1.0	96.0	96.0	96.0	96.0
22	2.0	1.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	96.0	1.0	1.0	1.0	96.0	96.0	96.0	96.0
23	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	68.0	1.0	1.0	1.0	68.0	68.0	68.0	68.0
24	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	79.0	1.0	1.0	1.0	79.0	79.0	79.0	79.0
25	19.0	13.0	20.0	13.0	19.0	13.0	20.0	13.0	19.0	13.0	20.0	11.0	19.0	13.0	20.0	11.0	19.0	13.0	20.0	11.0	119.0	3.0	3.0	3.0	119.0	119.0	119.0	119.0
26	8.0	1037.0	10.0	16.0	5.0	1037.0	5.0	7.0	5.0	1037.0	5.0	12.0	4.0	1037.0	4.0	182.0	8.0	1037.0	10.0	463.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
27	3.0	10.0	3.0	3.0	2.0	10.0	2.0	2.0	2.0	10.0	2.0	2.0	5.0	10.0	5.0	7.0	3.0	10.0	3.0	4.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
28	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
29	9.0	9.0	12.0	7.0	8.0	8.0	10.0	7.0	8.0	8.0	10.0	4.0	7.0	6.0	8.0	3.0	9.0	9.0	12.0	5.0	339.0	11.0	11.0	11.0	339.0	8.0	8.0	8.0
30	14.0	11.0	15.0	11.0	8.0	7.0	9.0	9.0	9.0	7.0	10.0	5.0	5.0	5.0	6.0	2.0	14.0	11.0	15.0	6.0	124.0	23.0	23.0	23.0	124.0	21.0	21.0	21.0
31	332.0	123.0	335.0	230.0	332.0	123.0	335.0	230.0	332.0	123.0	335.0	222.0	332.0	123.0	335.0	201.0	332.0	123.0	335.0	117.0	90.0	90.0	90.0	90.0	90.0	90.0	90.0	90.0
32	4.0	1.0	1.0	2.0	4.0	1.0	1.0	2.0	4.0	1.0	1.0	2.0	4.0	1.0	1.0	2.0	4.0	1.0	1.0	2.0	125.0	1.0	1.0	1.0	125.0	1.0	1.0	1.0
33	2.0	4.0	4.0	2.0	2.0	4.0	4.0	2.0	2.0	4.0	4.0	2.0	2.0	4.0	4.0	1.0	2.0	4.0	4.0	1.0	192.0	4.0	4.0	4.0	192.0	192.0	192.0	192.0
