id	ori_StatisticalDebugging	pred_StatisticalDebugging	predWithReplace_StatisticalDebugging	tot_StatisticalDebugging
1	426.0	3.0	3.0	3.0
2	-1.0	-1.0	-1.0	-1.0
5	126.0	126.0	126.0	126.0
6	194.0	2.0	2.0	2.0
7	52.0	1.0	1.0	1.0
8	99.0	99.0	99.0	99.0
9	1.0	1.0	1.0	1.0
10	107.0	145.0	145.0	145.0
11	175.0	165.0	165.0	165.0
13	291.0	291.0	291.0	291.0
14	182.0	5.0	5.0	5.0
16	279.0	353.0	353.0	353.0
17	188.0	188.0	188.0	188.0
18	158.0	158.0	158.0	158.0
19	-1.0	-1.0	-1.0	-1.0
20	99.0	99.0	99.0	99.0
21	111.0	111.0	111.0	111.0
22	111.0	111.0	111.0	111.0
23	78.0	78.0	78.0	78.0
24	90.0	90.0	90.0	90.0
25	128.0	128.0	128.0	128.0
26	-1.0	-1.0	-1.0	-1.0
27	-1.0	-1.0	-1.0	-1.0
28	-1.0	-1.0	-1.0	-1.0
31	103.0	103.0	103.0	103.0
32	140.0	1.0	1.0	1.0
33	204.0	204.0	204.0	204.0
34	8.0	8.0	8.0	8.0
35	196.0	196.0	196.0	196.0
37	81.0	81.0	81.0	81.0
38	45.0	45.0	45.0	45.0
39	8.0	1.0	1.0	1.0
40	187.0	1.0	1.0	1.0
41	184.0	65.0	65.0	65.0
42	-1.0	-1.0	-1.0	-1.0
43	199.0	17.0	17.0	17.0
44	45.0	45.0	45.0	45.0
45	117.0	117.0	117.0	117.0
46	18.0	1.0	1.0	1.0
47	146.0	223.0	223.0	223.0
49	186.0	37.0	37.0	37.0
50	92.0	4.0	4.0	4.0
51	45.0	45.0	45.0	45.0
52	49.0	49.0	49.0	49.0
53	-1.0	-1.0	-1.0	-1.0
54	231.0	3.0	3.0	3.0
55	-1.0	-1.0	-1.0	-1.0
56	28.0	2.0	2.0	2.0
57	38.0	38.0	38.0	38.0
58	80.0	80.0	80.0	80.0
59	317.0	317.0	317.0	317.0
60	274.0	294.0	294.0	294.0
61	84.0	4.0	4.0	4.0
62	3.0	1.0	1.0	1.0
63	3.0	1.0	1.0	1.0
64	-1.0	-1.0	-1.0	-1.0
65	43.0	43.0	43.0	43.0
66	107.0	5.0	5.0	5.0
67	99.0	99.0	99.0	99.0
68	15.0	15.0	15.0	15.0
69	181.0	20.0	20.0	20.0
70	179.0	313.0	313.0	313.0
71	165.0	1.0	1.0	1.0
72	-1.0	-1.0	-1.0	-1.0
73	42.0	42.0	42.0	42.0
74	87.0	1.0	1.0	1.0
75	82.0	97.0	97.0	97.0
76	105.0	4.0	4.0	4.0
77	40.0	40.0	40.0	40.0
78	81.0	81.0	81.0	81.0
79	83.0	136.0	136.0	136.0
80	39.0	57.0	57.0	57.0
81	15.0	15.0	15.0	15.0
82	-1.0	-1.0	-1.0	-1.0
83	-1.0	-1.0	-1.0	-1.0
84	-1.0	-1.0	-1.0	-1.0
85	96.0	1.0	1.0	1.0
86	-1.0	-1.0	-1.0	-1.0
87	80.0	80.0	80.0	80.0
89	122.0	26.0	26.0	26.0
90	165.0	1.0	1.0	1.0
91	76.0	76.0	76.0	76.0
92	86.0	86.0	86.0	86.0
93	86.0	86.0	86.0	86.0
94	90.0	150.0	150.0	150.0
95	180.0	13.0	13.0	13.0
96	146.0	146.0	146.0	146.0
97	68.0	68.0	68.0	68.0
98	100.0	100.0	100.0	100.0
99	73.0	3.0	3.0	3.0
100	58.0	3.0	3.0	3.0
101	176.0	176.0	176.0	176.0
102	247.0	247.0	247.0	247.0
103	172.0	35.0	35.0	35.0
104	11.0	11.0	11.0	11.0
105	75.0	75.0	75.0	75.0
106	104.0	46.0	46.0	46.0
107	164.0	164.0	164.0	164.0
109	-1.0	-1.0	-1.0	-1.0
110	95.0	1.0	1.0	1.0
111	-1.0	-1.0	-1.0	-1.0
112	225.0	8.0	8.0	8.0
113	100.0	100.0	100.0	100.0
114	141.0	141.0	141.0	141.0
115	182.0	2.0	2.0	2.0
116	208.0	4.0	4.0	4.0
118	251.0	2.0	2.0	2.0
119	114.0	114.0	114.0	114.0
120	135.0	135.0	135.0	135.0
121	135.0	135.0	135.0	135.0
122	20.0	3.0	3.0	3.0
123	63.0	63.0	63.0	63.0
124	92.0	92.0	92.0	92.0
125	207.0	207.0	207.0	207.0
126	108.0	2.0	2.0	2.0
127	123.0	11.0	11.0	11.0
128	53.0	53.0	53.0	53.0
129	242.0	242.0	242.0	242.0
130	147.0	147.0	147.0	147.0
131	94.0	4.0	4.0	4.0
132	100.0	100.0	100.0	100.0
133	-1.0	-1.0	-1.0	-1.0
top_1_3_5_10	1_3_3_5	13_23_30_32	13_23_30_32	13_23_30_32
percent	0.008_0.025_0.025_0.041	0.107_0.189_0.246_0.262	0.107_0.189_0.246_0.262	0.107_0.189_0.246_0.262
improve_drop	0_0	40_9	40_9	40_9
