id	ori_StatisticalDebugging	pred_StatisticalDebugging	predWithReplace_StatisticalDebugging	tot_StatisticalDebugging
1	12.0	1.0	1.0	1.0
2	9.0	1.0	1.0	1.0
3	68.0	2.0	2.0	2.0
4	10.0	1.0	1.0	1.0
5	26.0	10.0	10.0	10.0
6	119.0	4.0	4.0	4.0
7	38.0	61.0	61.0	61.0
8	13.0	1.0	1.0	1.0
9	13.0	1.0	1.0	1.0
10	54.0	1.0	1.0	1.0
11	-1.0	-1.0	-1.0	-1.0
12	52.0	13.0	13.0	13.0
13	21.0	8.0	8.0	8.0
14	53.0	82.0	82.0	82.0
15	1.0	1.0	1.0	1.0
16	86.0	14.0	14.0	14.0
17	34.0	58.0	58.0	58.0
18	8.0	12.0	12.0	13.0
19	61.0	4.0	4.0	4.0
20	58.0	89.0	89.0	89.0
21	59.0	5.0	5.0	5.0
22	-1.0	-1.0	-1.0	-1.0
23	2.0	2.0	2.0	2.0
24	64.0	41.0	41.0	41.0
25	42.0	2.0	2.0	2.0
26	-1.0	-1.0	-1.0	-1.0
27	35.0	9.0	9.0	9.0
top_1_3_5_10	1_2_2_5	7_10_13_16	7_10_13_16	7_10_13_16
percent	0.037_0.074_0.074_0.185	0.259_0.370_0.481_0.593	0.259_0.370_0.481_0.593	0.259_0.370_0.481_0.593
improve_drop	0_0	17_5	17_5	17_5
