id	ori_Barinel	pred_Barinel	predWithReplace_Barinel	tot_Barinel	ori_DStar	pred_DStar	predWithReplace_DStar	tot_DStar	ori_Ochiai	pred_Ochiai	predWithReplace_Ochiai	tot_Ochiai	ori_Op2	pred_Op2	predWithReplace_Op2	tot_Op2	ori_Tarantula	pred_Tarantula	predWithReplace_Tarantula	tot_Tarantula
44	5.0	77.0	10.0	18.0	5.0	77.0	10.0	17.0	5.0	77.0	10.0	19.0	5.0	77.0	10.0	34.0	5.0	77.0	10.0	34.0
45	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
46	2.0	17.0	2.0	2.0	1.0	17.0	1.0	1.0	2.0	17.0	2.0	2.0	1.0	17.0	1.0	2.0	2.0	17.0	2.0	3.0
47	2.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0
48	2.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0
49	2.0	27.0	2.0	2.0	2.0	27.0	2.0	2.0	2.0	27.0	2.0	3.0	2.0	27.0	2.0	8.0	2.0	27.0	2.0	8.0
50	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
51	10.0	1.0	9.0	3.0	10.0	1.0	9.0	3.0	10.0	1.0	9.0	2.0	10.0	1.0	9.0	1.0	10.0	1.0	9.0	1.0
52	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0
53	1.0	5.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	5.0	1.0	2.0	1.0	5.0	1.0	2.0	1.0	5.0	1.0	2.0
55	1.0	6.0	1.0	1.0	1.0	6.0	1.0	1.0	1.0	6.0	1.0	1.0	1.0	6.0	1.0	2.0	1.0	6.0	1.0	2.0
56	3.0	1.0	3.0	1.0	3.0	1.0	3.0	3.0	3.0	1.0	3.0	1.0	3.0	1.0	3.0	1.0	3.0	1.0	3.0	1.0
57	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0
58	7.0	47.0	10.0	10.0	7.0	47.0	10.0	10.0	7.0	47.0	10.0	11.0	7.0	47.0	10.0	19.0	7.0	47.0	10.0	19.0
59	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
60	3.0	13.0	4.0	5.0	3.0	13.0	4.0	5.0	3.0	13.0	4.0	5.0	3.0	13.0	4.0	7.0	3.0	13.0	4.0	7.0
61	1.0	3.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	3.0	1.0	1.0
63	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
64	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
65	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
68	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0
69	2.0	4.0	5.0	5.0	2.0	4.0	5.0	5.0	2.0	4.0	5.0	3.0	2.0	4.0	5.0	1.0	2.0	4.0	5.0	1.0
70	1.0	7.0	1.0	1.0	1.0	7.0	1.0	1.0	1.0	7.0	1.0	2.0	1.0	7.0	1.0	4.0	1.0	7.0	1.0	4.0
71	1.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	3.0	50.0	16.0	51.0	23.0	1.0	2.0	2.0	4.0
72	2.0	9.0	2.0	2.0	2.0	9.0	2.0	2.0	2.0	9.0	2.0	2.0	2.0	9.0	2.0	6.0	2.0	9.0	2.0	6.0
73	1.0	9.0	2.0	2.0	1.0	9.0	2.0	2.0	1.0	9.0	2.0	2.0	1.0	9.0	2.0	5.0	1.0	9.0	2.0	5.0
74	95.0	19.0	93.0	79.0	95.0	19.0	93.0	79.0	95.0	19.0	93.0	53.0	95.0	19.0	93.0	18.0	95.0	19.0	93.0	18.0
75	2.0	7.0	2.0	2.0	2.0	7.0	2.0	2.0	2.0	7.0	2.0	2.0	2.0	7.0	2.0	2.0	2.0	7.0	2.0	2.0
76	4.0	8.0	9.0	9.0	4.0	12.0	6.0	6.0	4.0	11.0	6.0	13.0	4.0	16.0	5.0	16.0	4.0	8.0	9.0	5.0
78	7.0	2.0	6.0	6.0	7.0	2.0	6.0	6.0	7.0	2.0	6.0	3.0	7.0	2.0	6.0	2.0	7.0	2.0	6.0	2.0
79	9.0	1.0	1.0	1.0	9.0	1.0	1.0	1.0	9.0	1.0	1.0	1.0	9.0	1.0	1.0	1.0	9.0	1.0	1.0	1.0
80	3.0	4.0	5.0	3.0	3.0	4.0	5.0	5.0	3.0	4.0	5.0	3.0	3.0	4.0	5.0	3.0	3.0	4.0	5.0	3.0
81	1.0	3.0	2.0	2.0	1.0	3.0	2.0	2.0	1.0	3.0	2.0	3.0	1.0	3.0	2.0	7.0	1.0	3.0	2.0	7.0
82	17.0	1.0	3.0	3.0	17.0	1.0	3.0	3.0	17.0	1.0	3.0	1.0	17.0	1.0	3.0	1.0	17.0	1.0	3.0	1.0
83	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
84	2.0	20.0	3.0	4.0	2.0	20.0	2.0	3.0	2.0	20.0	2.0	6.0	2.0	20.0	2.0	7.0	2.0	20.0	3.0	9.0
85	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	4.0	2.0	2.0	2.0	4.0
86	3.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0
87	28.0	40.0	28.0	32.0	28.0	40.0	28.0	32.0	28.0	40.0	28.0	33.0	28.0	40.0	28.0	33.0	28.0	40.0	28.0	33.0
88	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
