id	ori_Barinel	pred_Barinel	predWithReplace_Barinel	tot_Barinel	ori_DStar	pred_DStar	predWithReplace_DStar	tot_DStar	ori_Ochiai	pred_Ochiai	predWithReplace_Ochiai	tot_Ochiai	ori_Op2	pred_Op2	predWithReplace_Op2	tot_Op2	ori_Tarantula	pred_Tarantula	predWithReplace_Tarantula	tot_Tarantula
1	10.0	57.0	10.0	13.0	10.0	57.0	10.0	13.0	10.0	57.0	10.0	16.0	10.0	57.0	10.0	22.0	10.0	57.0	10.0	22.0
2	31.0	36.0	31.0	31.0	32.0	36.0	32.0	33.0	32.0	36.0	32.0	33.0	49.0	36.0	49.0	49.0	31.0	36.0	31.0	32.0
3	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
4	33.0	211.0	36.0	46.0	16.0	211.0	17.0	23.0	17.0	211.0	18.0	32.0	8.0	211.0	9.0	33.0	33.0	211.0	36.0	77.0
5	2.0	9.0	3.0	3.0	2.0	9.0	3.0	3.0	2.0	9.0	3.0	3.0	2.0	9.0	3.0	5.0	2.0	9.0	3.0	5.0
6	11.0	15.0	11.0	12.0	7.0	15.0	7.0	8.0	7.0	15.0	7.0	9.0	2.0	15.0	2.0	8.0	11.0	15.0	11.0	13.0
7	5.0	11.0	5.0	5.0	5.0	11.0	5.0	5.0	5.0	11.0	5.0	6.0	5.0	11.0	5.0	6.0	5.0	11.0	5.0	6.0
8	2.0	5.0	2.0	3.0	2.0	5.0	2.0	3.0	2.0	5.0	2.0	3.0	2.0	5.0	2.0	5.0	2.0	5.0	2.0	5.0
9	1.0	30.0	2.0	2.0	1.0	30.0	2.0	2.0	1.0	30.0	2.0	5.0	1.0	30.0	2.0	20.0	1.0	30.0	2.0	20.0
10	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
12	5.0	50.0	5.0	5.0	5.0	50.0	5.0	5.0	5.0	50.0	5.0	5.0	5.0	49.0	5.0	8.0	5.0	50.0	5.0	8.0
13	2.0	44.0	4.0	7.0	2.0	44.0	4.0	4.0	2.0	44.0	4.0	7.0	2.0	44.0	4.0	31.0	2.0	44.0	4.0	31.0
14	7.0	48.0	7.0	7.0	10.0	48.0	10.0	10.0	7.0	48.0	7.0	7.0	59.0	47.0	59.0	59.0	7.0	48.0	7.0	14.0
15	8.0	124.0	8.0	8.0	8.0	124.0	8.0	8.0	8.0	124.0	8.0	8.0	8.0	123.0	8.0	48.0	8.0	124.0	8.0	48.0
16	2.0	8.0	2.0	2.0	2.0	8.0	2.0	2.0	2.0	8.0	2.0	2.0	2.0	6.0	2.0	2.0	2.0	8.0	2.0	2.0
17	1.0	5.0	2.0	2.0	1.0	5.0	2.0	2.0	1.0	5.0	2.0	2.0	1.0	5.0	2.0	3.0	1.0	5.0	2.0	3.0
18	2.0	12.0	2.0	2.0	1.0	12.0	1.0	1.0	1.0	12.0	1.0	1.0	1.0	12.0	1.0	2.0	2.0	12.0	2.0	4.0
19	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	75.0	17.0	75.0	17.0	1.0	1.0	1.0	1.0
20	5.0	8.0	5.0	5.0	5.0	8.0	5.0	5.0	5.0	8.0	5.0	5.0	5.0	8.0	5.0	6.0	5.0	8.0	5.0	6.0
21	2.0	16.0	2.0	2.0	2.0	16.0	2.0	2.0	2.0	16.0	2.0	2.0	2.0	16.0	2.0	6.0	2.0	16.0	2.0	6.0
22	2.0	17.0	2.0	3.0	5.0	17.0	5.0	6.0	1.0	17.0	1.0	2.0	12.0	17.0	12.0	15.0	2.0	17.0	2.0	9.0
23	3.0	21.0	3.0	3.0	3.0	21.0	3.0	3.0	3.0	21.0	3.0	3.0	3.0	21.0	3.0	5.0	3.0	21.0	3.0	5.0
24	1.0	3.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	3.0	1.0	2.0	1.0	3.0	1.0	2.0
25	1.0	2.0	2.0	1.0	21.0	12.0	23.0	16.0	13.0	9.0	14.0	9.0	526.0	110.0	526.0	110.0	1.0	2.0	2.0	1.0
26	153.0	528.0	165.0	221.0	63.0	528.0	68.0	106.0	63.0	528.0	69.0	135.0	51.0	528.0	55.0	121.0	153.0	528.0	165.0	262.0
top_1_3_5_10	7_16_19_22	3_6_8_11	4_15_19_22	5_15_18_21	7_14_18_22	3_5_7_10	5_13_18_22	5_13_17_21	8_15_18_22	3_5_7_11	6_14_18_22	5_13_16_22	6_14_17_20	2_4_6_9	4_13_17_20	2_7_10_15	7_16_19_22	3_6_8_11	4_15_19_22	4_8_12_17
percent	0.269_0.615_0.731_0.846	0.115_0.231_0.308_0.423	0.154_0.577_0.731_0.846	0.192_0.577_0.692_0.808	0.269_0.538_0.692_0.846	0.115_0.192_0.269_0.385	0.192_0.500_0.692_0.846	0.192_0.500_0.654_0.808	0.308_0.577_0.692_0.846	0.115_0.192_0.269_0.423	0.231_0.538_0.692_0.846	0.192_0.500_0.615_0.846	0.231_0.538_0.654_0.769	0.077_0.154_0.231_0.346	0.154_0.500_0.654_0.769	0.077_0.269_0.385_0.577	0.269_0.615_0.731_0.846	0.115_0.231_0.308_0.423	0.154_0.577_0.731_0.846	0.154_0.308_0.462_0.654
improve_drop	0_0	0_22	0_7	0_10	0_0	1_21	0_7	1_11	0_0	1_21	0_7	1_12	0_0	4_19	0_6	2_18	0_0	0_22	0_7	0_20
