id	ori_Barinel	pred_Barinel	predWithReplace_Barinel	tot_Barinel	ori_DStar	pred_DStar	predWithReplace_DStar	tot_DStar	ori_Ochiai	pred_Ochiai	predWithReplace_Ochiai	tot_Ochiai	ori_Op2	pred_Op2	predWithReplace_Op2	tot_Op2	ori_Tarantula	pred_Tarantula	predWithReplace_Tarantula	tot_Tarantula	ori_StatisticalDebugging	pred_StatisticalDebugging	predWithReplace_StatisticalDebugging	tot_StatisticalDebugging	ori_OriginalStatisticalDebugging	pred_OriginalStatisticalDebugging	predWithReplace_OriginalStatisticalDebugging	tot_OriginalStatisticalDebugging
1	2.0	1.0	1.0	1.0	3.0	1.0	2.0	1.0	3.0	1.0	1.0	1.0	12.0	4.0	11.0	4.0	2.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	5.0	6.0	6.0	6.0
2	4.0	2.0	2.0	2.0	4.0	2.0	2.0	2.0	4.0	2.0	2.0	2.0	4.0	2.0	2.0	2.0	4.0	2.0	2.0	2.0	10.0	2.0	2.0	2.0	10.0	10.0	10.0	10.0
3	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
4	2.0	43.0	3.0	18.0	2.0	43.0	3.0	18.0	2.0	43.0	3.0	28.0	13.0	43.0	14.0	41.0	2.0	43.0	3.0	32.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
5	2.0	1.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0
6	21.0	11.0	11.0	36.0	17.0	100.0	19.0	68.0	17.0	92.0	19.0	91.0	27.0	120.0	28.0	120.0	21.0	11.0	11.0	36.0	98.0	14.0	14.0	14.0	98.0	65.0	65.0	65.0
7	1.0	10.0	6.0	10.0	1.0	10.0	6.0	10.0	1.0	10.0	6.0	10.0	1.0	10.0	6.0	6.0	1.0	10.0	6.0	6.0	40.0	7.0	7.0	7.0	40.0	40.0	40.0	40.0
8	2.0	1.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	5.0	7.0	7.0	7.0	5.0	5.0	5.0	5.0
9	1.0	13.0	1.0	1.0	1.0	13.0	1.0	1.0	1.0	13.0	1.0	2.0	1.0	13.0	1.0	10.0	1.0	13.0	1.0	10.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
10	2.0	4.0	5.0	4.0	2.0	4.0	5.0	4.0	2.0	4.0	5.0	4.0	2.0	4.0	5.0	2.0	2.0	4.0	5.0	2.0	9.0	15.0	15.0	15.0	9.0	9.0	9.0	9.0
11	2.0	4.0	4.0	4.0	2.0	4.0	4.0	4.0	2.0	4.0	4.0	4.0	2.0	4.0	4.0	3.0	2.0	4.0	4.0	3.0	24.0	39.0	39.0	39.0	24.0	24.0	24.0	24.0
