id	ori_Barinel	pred_Barinel	predWithReplace_Barinel	tot_Barinel	ori_DStar	pred_DStar	predWithReplace_DStar	tot_DStar	ori_Ochiai	pred_Ochiai	predWithReplace_Ochiai	tot_Ochiai	ori_Op2	pred_Op2	predWithReplace_Op2	tot_Op2	ori_Tarantula	pred_Tarantula	predWithReplace_Tarantula	tot_Tarantula	ori_StatisticalDebugging	pred_StatisticalDebugging	predWithReplace_StatisticalDebugging	tot_StatisticalDebugging	ori_OriginalStatisticalDebugging	pred_OriginalStatisticalDebugging	predWithReplace_OriginalStatisticalDebugging	tot_OriginalStatisticalDebugging
1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	4.0	4.0	4.0	4.0
2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	4.0	4.0	4.0	4.0
3	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	42.0	1.0	41.0	1.0	1.0	1.0	1.0	35.0	2.0	2.0	2.0	35.0	52.0	52.0	52.0
4	4.0	1.0	4.0	4.0	4.0	1.0	4.0	4.0	4.0	1.0	4.0	4.0	4.0	1.0	4.0	1.0	4.0	1.0	4.0	1.0	4.0	1.0	1.0	1.0	4.0	4.0	4.0	4.0
5	6.0	6.0	6.0	6.0	3.0	2.0	3.0	2.0	3.0	2.0	3.0	2.0	3.0	2.0	3.0	1.0	6.0	6.0	6.0	4.0	17.0	10.0	10.0	10.0	17.0	3.0	3.0	3.0
6	8.0	3.0	8.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	34.0	10.0	34.0	11.0	8.0	3.0	8.0	2.0	76.0	1.0	1.0	1.0	76.0	1.0	1.0	1.0
7	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	21.0	37.0	37.0	37.0	21.0	34.0	34.0	34.0
8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	11.0	1.0	1.0	1.0	11.0	11.0	11.0	11.0
9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	11.0	1.0	1.0	1.0	11.0	11.0	11.0	11.0
10	7.0	4.0	7.0	3.0	2.0	2.0	2.0	1.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	1.0	7.0	4.0	7.0	3.0	28.0	48.0	48.0	48.0	28.0	46.0	46.0	46.0
