id	ori_Barinel	pred_Barinel	predWithReplace_Barinel	tot_Barinel	ori_DStar	pred_DStar	predWithReplace_DStar	tot_DStar	ori_Ochiai	pred_Ochiai	predWithReplace_Ochiai	tot_Ochiai	ori_Op2	pred_Op2	predWithReplace_Op2	tot_Op2	ori_Tarantula	pred_Tarantula	predWithReplace_Tarantula	tot_Tarantula
1	6.0	1106.0	6.0	6.0	4.0	1106.0	4.0	4.0	4.0	1106.0	4.0	4.0	4.0	1106.0	4.0	26.0	6.0	1106.0	6.0	46.0
2	3.0	346.0	3.0	3.0	3.0	346.0	3.0	3.0	3.0	346.0	3.0	3.0	3.0	346.0	3.0	12.0	3.0	346.0	3.0	28.0
3	4.0	480.0	4.0	4.0	4.0	480.0	4.0	4.0	4.0	480.0	4.0	4.0	4.0	480.0	4.0	33.0	4.0	480.0	4.0	33.0
5	10.0	373.0	10.0	10.0	10.0	373.0	10.0	10.0	10.0	373.0	10.0	11.0	10.0	373.0	10.0	14.0	10.0	373.0	10.0	33.0
6	1.0	497.0	1.0	1.0	1.0	497.0	1.0	1.0	1.0	497.0	1.0	1.0	7.0	497.0	7.0	34.0	1.0	497.0	1.0	30.0
7	1.0	148.0	1.0	1.0	1.0	148.0	1.0	1.0	1.0	148.0	1.0	1.0	1.0	148.0	1.0	3.0	1.0	148.0	1.0	4.0
8	10.0	302.0	10.0	10.0	10.0	302.0	10.0	10.0	10.0	302.0	10.0	10.0	10.0	302.0	10.0	11.0	10.0	302.0	10.0	31.0
9	1.0	3.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	3.0	1.0	1.0
10	27.0	330.0	27.0	28.0	30.0	330.0	30.0	31.0	30.0	330.0	30.0	31.0	517.0	330.0	517.0	519.0	27.0	330.0	27.0	49.0
11	167.0	460.0	167.0	177.0	146.0	460.0	146.0	156.0	146.0	460.0	146.0	169.0	119.0	460.0	119.0	143.0	167.0	460.0	167.0	190.0
12	93.0	473.0	94.0	95.0	93.0	473.0	94.0	95.0	93.0	473.0	94.0	96.0	93.0	473.0	94.0	105.0	93.0	473.0	94.0	123.0
